event_type,initial_speed,plate_x,plate_z,pitch_name,pitch_type
hit_into_play,94,-0.752,1.875,Four-seam FB,FF
foul,93.9,0.229,2.037,Sinker,SI
hit_into_play,85.6,0.542,1.624,Slider,SL
hit_into_play,91.25,0.523,2.865,Two-seam FB,FT
hit_into_play,90,0.597,1.582,Sinker,SI
foul,80.6,0.189,3.232,Slider,SL
swinging_strike,96.512,0.011,2.363,Four-seam FB,FF
hit_into_play,91.8,0.616,2.411,Two-seam FB,FT
hit_into_play,91.1,0.829,1.268,Four-seam FB,FF
foul,94.349,0.505,3.498,Four-seam FB,FF
swinging_strike,83.9,0.602,1.793,Changeup,CH
foul,90.3,-0.721,2.305,Four-seam FB,FF
foul,96.1,0.685,4.096,Four-seam FB,FF
swinging_strike,83.6,1.279,0.323,Curveball,CU
foul,93.3,0.607,2.156,Cutter,FC
foul,89.82,0.68,3.271,Sinker,SI
foul,91.3,0.962,2.504,Four-seam FB,FF
foul,92.331,-0.711,2.172,Four-seam FB,FF
hit_into_play,93.8,-0.809,1.73,Four-seam FB,FF
swinging_strike,84.245,-0.397,3.396,Cutter,FC
swinging_strike,88.9,1.279,2.474,Four-seam FB,FF
hit_into_play,86.937,0.671,1.511,Sinker,SI
hit_into_play,70.9,0.017,2.711,Knuckleball,KN
foul,85.3,1.243,2.342,Slider,SL
foul,94.9,0.021,3.379,Four-seam FB,FF
foul,93.6,-0.38,2.625,Four-seam FB,FF
swinging_strike,81.871,1.583,1.788,Slider,SL
foul,84,0.78,0.97,Slider,SL
hit_into_play,80.4,0.575,1.818,Slider,SL
swinging_strike,83.4,0.228,1.552,Slider,SL
swinging_strike,86.6,0.32,1.366,Slider,SL
swinging_strike,82.6,-0.538,1.992,Changeup,CH
foul,89.4,-0.221,3.194,Sinker,SI
foul,86.3,0.18,1.986,Slider,SL
hit_into_play,80,0.717,1.212,Curveball,CU
foul,91.9,-0.579,3.265,Four-seam FB,FF
hit_into_play,90.2,0.514,2.116,Cutter,FC
hit_into_play,88.1,-0.373,1.509,Sinker,SI
swinging_strike,81.784,1.547,0.653,Slider,SL
hit_into_play,83.7,-0.467,2.338,Four-seam FB,FF
hit_into_play,92.6,-0.463,2.911,Four-seam FB,FF
hit_into_play,92.3,-1.525,2.668,Four-seam FB,FF
hit_into_play,93.6,-1.267,2.707,Four-seam FB,FF
swinging_strike,93,-0.203,2.222,Four-seam FB,FF
hit_into_play,90.4,0.908,1.708,Four-seam FB,FF
foul,87.2,0.146,2.39,Slider,SL
swinging_strike,70.5,-0.348,2.052,Curveball,CU
